GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),GameParams(winCount),GameParams(gridSize),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
1365640982,Connect4,31,GAME_OVER,64,1,2,3200,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1636116128,Connect4,29,GAME_OVER,60,1,2,3201,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,6,8,6,8,0,0,0
864133078,Connect4,30,GAME_OVER,62,1,2,3202,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,6,8,8,8,8,0,0,0
-1271523072,Connect4,30,GAME_OVER,62,1,2,3203,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,6,8,8,8,8,8,8,0,0,0
-210012043,Connect4,29,GAME_OVER,59,0,2,3204,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,6,8,5,8,8,0,0,0
536627490,Connect4,29,GAME_OVER,59,0,2,3205,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,8,8,3,8,8,0,0,0
-1461010236,Connect4,30,GAME_OVER,62,1,2,3206,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,6,0,0,0
-466259543,Connect4,29,GAME_OVER,59,0,2,3207,connect4-32,-1.0,1.0,connect4-32,6,8,6,0,8,5,8,8,8,8,8,0,0,0
-36524596,Connect4,31,GAME_OVER,64,1,2,3208,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-672717195,Connect4,31,GAME_OVER,64,1,2,3209,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-787068412,Connect4,31,GAME_OVER,64,1,2,3210,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
322637739,Connect4,31,GAME_OVER,64,1,2,3211,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-619250180,Connect4,31,GAME_OVER,64,1,2,3212,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-317902130,Connect4,31,GAME_OVER,64,1,2,3213,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
2137860439,Connect4,31,GAME_OVER,64,1,2,3214,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-682678330,Connect4,31,GAME_OVER,64,1,2,3215,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-665523628,Connect4,31,GAME_OVER,64,1,2,3216,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1809252562,Connect4,30,GAME_OVER,61,0,2,3217,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,7,8,8,6,8,8,0,0,0
-1691155916,Connect4,29,GAME_OVER,60,1,2,3218,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,6,8,8,8,8,6,0,0,0
1194842028,Connect4,31,GAME_OVER,64,1,2,3219,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1535201482,Connect4,31,GAME_OVER,64,1,2,3220,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-35442836,Connect4,29,GAME_OVER,59,0,2,3221,connect4-32,-1.0,1.0,connect4-32,6,8,6,0,8,8,8,5,8,8,8,0,0,0
671869199,Connect4,31,GAME_OVER,64,1,2,3222,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1549335028,Connect4,28,GAME_OVER,58,1,2,3223,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,4,8,6,8,0,0,0
303479547,Connect4,31,GAME_OVER,64,1,2,3224,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-660872991,Connect4,31,GAME_OVER,64,1,2,3225,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1124863710,Connect4,31,GAME_OVER,64,1,2,3226,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1546175828,Connect4,31,GAME_OVER,64,1,2,3227,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
