GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
-1236288263,SeaSaltPaper,4,GAME_OVER,395,32,4,1347,seasaltpaper-4P-128,10.0,21.0,29.0,30.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,7,77,5,7,0,5,8,9,38,10,59,6,8,13,6,15,15,6,10,22,15,3,10,5,22,12,16,15,8,10,13,2,"[2.0, 1.0, 2.0, 9.0, 7.0, 3.0, 12.0, 11.0, 10.0, 5.0, 15.0, 21.0, 19.0, 7.0, 21.0, 27.0, 21.0, 10.0, 30.0, 29.0]"
221762669,SeaSaltPaper,4,GAME_OVER,401,26,4,1348,seasaltpaper-4P-128,22.0,21.0,37.0,15.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,6,78,3,6,0,5,8,8,36,7,76,9,11,13,11,16,11,7,7,23,19,9,7,3,27,20,13,19,7,11,8,3,"[2.0, 3.0, 3.0, 12.0, 5.0, 9.0, 6.0, 20.0, 9.0, 17.0, 10.0, 25.0, 18.0, 20.0, 12.0, 29.0, 21.0, 22.0, 15.0, 37.0]"
-1269568831,SeaSaltPaper,3,GAME_OVER,279,24,4,1349,seasaltpaper-4P-128,13.0,31.0,13.0,18.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,3,52,4,5,1,3,6,4,24,5,48,6,6,6,7,10,9,5,5,16,11,3,5,3,15,10,9,9,8,10,7,2,"[11.0, 2.0, 3.0, 3.0, 15.0, 8.0, 12.0, 5.0, 24.0, 12.0, 14.0, 7.0, 31.0, 13.0, 18.0, 13.0]"
573014490,SeaSaltPaper,4,GAME_OVER,404,36,4,1350,seasaltpaper-4P-128,13.0,34.0,10.0,29.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,78,5,7,0,5,6,8,35,11,63,7,11,16,9,14,9,7,11,16,17,3,11,5,20,22,11,18,7,9,9,2,"[10.0, 3.0, 3.0, 3.0, 19.0, 5.0, 5.0, 5.0, 23.0, 8.0, 13.0, 6.0, 26.0, 11.0, 23.0, 8.0, 34.0, 13.0, 29.0, 10.0]"
607133991,SeaSaltPaper,4,GAME_OVER,388,34,4,1351,seasaltpaper-4P-128,13.0,15.0,21.0,38.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,76,6,5,1,4,5,7,37,7,64,8,8,15,11,20,10,6,7,19,11,6,7,4,15,23,19,13,9,8,9,2,"[3.0, 2.0, 10.0, 2.0, 5.0, 4.0, 19.0, 4.0, 7.0, 7.0, 22.0, 13.0, 13.0, 11.0, 29.0, 19.0, 15.0, 13.0, 38.0, 21.0]"
1683954274,SeaSaltPaper,5,GAME_OVER,454,19,4,1352,seasaltpaper-4P-128,28.0,22.0,18.0,38.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,9,87,8,6,1,5,9,12,48,11,86,12,10,17,12,26,17,8,11,24,20,10,11,5,25,23,23,20,10,16,12,2,"[10.0, 2.0, 3.0, 2.0, 13.0, 14.0, 5.0, 6.0, 17.0, 21.0, 9.0, 11.0, 19.0, 23.0, 18.0, 13.0, 21.0, 26.0, 28.0, 17.0, 22.0, 28.0, 38.0, 18.0]"
-945938904,SeaSaltPaper,4,GAME_OVER,459,32,4,1353,seasaltpaper-4P-128,36.0,28.0,15.0,27.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,9,90,4,10,2,3,7,11,41,9,81,9,12,18,13,19,11,7,9,20,24,7,9,5,28,21,15,19,9,17,10,2,"[4.0, 4.0, 7.0, 3.0, 10.0, 8.0, 15.0, 5.0, 19.0, 17.0, 22.0, 8.0, 22.0, 28.0, 25.0, 10.0, 28.0, 36.0, 27.0, 15.0]"
-691288542,SeaSaltPaper,4,GAME_OVER,419,31,4,1354,seasaltpaper-4P-128,17.0,35.0,24.0,15.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,8,80,2,9,2,3,10,7,31,10,77,4,8,8,13,15,18,3,10,26,20,5,10,3,25,18,19,15,8,13,9,0,"[9.0, 2.0, 3.0, 3.0, 18.0, 6.0, 9.0, 4.0, 20.0, 8.0, 11.0, 13.0, 27.0, 13.0, 13.0, 17.0, 35.0, 17.0, 15.0, 24.0]"
-25754083,SeaSaltPaper,4,GAME_OVER,333,19,4,1355,seasaltpaper-4P-128,18.0,32.0,19.0,23.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,1,64,4,5,1,4,6,6,33,10,60,5,8,11,9,17,11,8,10,18,12,3,10,6,18,18,14,12,8,9,8,3,"[6.0, 3.0, 6.0, 8.0, 13.0, 7.0, 10.0, 12.0, 13.0, 12.0, 18.0, 14.0, 22.0, 15.0, 21.0, 17.0, 32.0, 18.0, 23.0, 19.0]"
1484372713,SeaSaltPaper,5,GAME_OVER,388,23,4,1356,seasaltpaper-4P-128,29.0,33.0,16.0,22.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,4,77,3,8,1,5,6,11,36,15,62,6,9,16,11,17,10,10,15,17,13,7,15,4,23,21,11,14,4,13,8,4,"[10.0, 3.0, 2.0, 2.0, 12.0, 5.0, 12.0, 5.0, 22.0, 7.0, 14.0, 7.0, 24.0, 16.0, 17.0, 10.0, 26.0, 26.0, 19.0, 12.0, 33.0, 29.0, 22.0, 16.0]"
