GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
525586289,Connect4,9,GAME_OVER,20,1,2,727,connect4-64,1.0,-1.0,connect4-64,0,0,5,1,4,2,4,4,0,0,0,0
-1919594146,Connect4,13,GAME_OVER,28,1,2,728,connect4-64,1.0,-1.0,connect4-64,0,0,3,4,4,5,6,3,3,0,0,0
-2105188225,Connect4,11,GAME_OVER,23,0,2,729,connect4-64,-1.0,1.0,connect4-64,0,0,0,6,6,4,4,2,1,0,0,0
390408364,Connect4,12,GAME_OVER,25,0,2,730,connect4-64,-1.0,1.0,connect4-64,1,0,2,6,5,5,6,0,0,0,0,0
525992997,Connect4,11,GAME_OVER,23,0,2,731,connect4-64,-1.0,1.0,connect4-64,2,0,4,6,5,0,5,1,0,0,0,0
444327650,Connect4,25,GAME_OVER,51,0,2,732,connect4-64,-1.0,1.0,connect4-64,1,0,7,8,8,5,7,7,8,0,0,0
-1655392288,Connect4,24,GAME_OVER,50,1,2,733,connect4-64,1.0,-1.0,connect4-64,8,0,2,5,8,8,8,3,8,0,0,0
301891816,Connect4,17,GAME_OVER,35,0,2,734,connect4-64,-1.0,1.0,connect4-64,1,0,5,8,4,8,7,0,2,0,0,0
-701443767,Connect4,26,GAME_OVER,53,0,2,735,connect4-64,-1.0,1.0,connect4-64,8,0,8,0,8,8,8,8,5,0,0,0
285743901,Connect4,11,GAME_OVER,24,1,2,736,connect4-64,1.0,-1.0,connect4-64,0,0,2,0,6,5,5,6,0,0,0,0
1532251673,Connect4,13,GAME_OVER,28,1,2,737,connect4-64,1.0,-1.0,connect4-64,0,0,0,4,7,6,6,5,0,0,0,0
-306737172,Connect4,19,GAME_OVER,40,1,2,738,connect4-64,1.0,-1.0,connect4-64,4,0,0,6,6,7,7,6,4,0,0,0
1406069025,Connect4,11,GAME_OVER,23,0,2,739,connect4-64,-1.0,1.0,connect4-64,0,0,0,3,5,5,5,1,4,0,0,0
612980477,Connect4,13,GAME_OVER,27,0,2,740,connect4-64,-1.0,1.0,connect4-64,4,0,1,3,5,4,3,4,3,0,0,0
2049400860,Connect4,10,GAME_OVER,22,1,2,741,connect4-64,1.0,-1.0,connect4-64,0,0,0,1,5,4,5,6,1,0,0,0
-1131729214,Connect4,25,GAME_OVER,51,0,2,742,connect4-64,-1.0,1.0,connect4-64,3,0,2,8,8,8,7,8,7,0,0,0
419642494,Connect4,15,GAME_OVER,31,0,2,743,connect4-64,-1.0,1.0,connect4-64,6,0,4,5,4,3,4,3,2,0,0,0
-1556581502,Connect4,8,GAME_OVER,18,1,2,744,connect4-64,1.0,-1.0,connect4-64,2,0,0,1,4,4,2,3,2,0,0,0
-320052815,Connect4,9,GAME_OVER,20,1,2,745,connect4-64,1.0,-1.0,connect4-64,0,0,1,4,1,5,3,3,3,0,0,0
1613486597,Connect4,7,GAME_OVER,15,0,2,746,connect4-64,-1.0,1.0,connect4-64,0,0,0,0,4,2,3,3,3,0,0,0
73575778,Connect4,25,GAME_OVER,52,1,2,747,connect4-64,1.0,-1.0,connect4-64,8,0,1,8,8,3,8,8,8,0,0,0
-853794416,Connect4,28,GAME_OVER,58,1,2,748,connect4-64,1.0,-1.0,connect4-64,8,0,8,8,8,8,8,8,2,0,0,0
-1607095615,Connect4,25,GAME_OVER,52,1,2,749,connect4-64,1.0,-1.0,connect4-64,8,0,0,8,8,4,8,8,8,0,0,0
421564376,Connect4,11,GAME_OVER,23,0,2,750,connect4-64,-1.0,1.0,connect4-64,0,0,6,4,4,2,4,3,0,0,0,0
864798697,Connect4,14,GAME_OVER,30,1,2,751,connect4-64,1.0,-1.0,connect4-64,2,0,0,4,5,5,4,6,4,0,0,0
-1070892281,Connect4,27,GAME_OVER,56,1,2,752,connect4-64,1.0,-1.0,connect4-64,7,0,8,8,8,1,8,8,8,0,0,0
696857808,Connect4,26,GAME_OVER,54,1,2,753,connect4-64,1.0,-1.0,connect4-64,8,0,8,1,8,8,8,5,8,0,0,0
840767769,Connect4,25,GAME_OVER,52,1,2,754,connect4-64,1.0,-1.0,connect4-64,3,0,8,8,8,1,8,8,8,0,0,0
-579689114,Connect4,25,GAME_OVER,52,1,2,755,connect4-64,1.0,-1.0,connect4-64,4,0,8,8,8,0,8,8,8,0,0,0
903876880,Connect4,27,GAME_OVER,56,1,2,756,connect4-64,1.0,-1.0,connect4-64,7,0,8,8,8,1,8,8,8,0,0,0
-991941429,Connect4,21,GAME_OVER,44,1,2,757,connect4-64,1.0,-1.0,connect4-64,4,0,6,4,8,7,7,1,7,0,0,0
-453430827,Connect4,19,GAME_OVER,40,1,2,758,connect4-64,1.0,-1.0,connect4-64,6,0,3,7,8,2,6,8,0,0,0,0
-1058710068,Connect4,17,GAME_OVER,35,0,2,759,connect4-64,-1.0,1.0,connect4-64,2,0,8,0,7,7,4,5,2,0,0,0
-810939462,Connect4,11,GAME_OVER,23,0,2,760,connect4-64,-1.0,1.0,connect4-64,0,0,3,4,4,4,4,3,1,0,0,0
